,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,3:30 AM,61.0,57.0,88.0, ENE,3.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 03:30:00
1,4:00 AM,61.0,55.0,82.0, ENE,2.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 04:00:00
2,4:30 AM,61.0,57.0,88.0, ENE,3.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 04:30:00
3,5:00 AM,61.0,55.0,82.0, ENE,3.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 05:00:00
4,5:30 AM,59.0,55.0,88.0, E,2.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 05:30:00
5,6:00 AM,59.0,55.0,88.0, E,2.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 06:00:00
6,6:30 AM,59.0,55.0,88.0, ENE,3.0,0.0,30.02, 0.0 in, Fog,2021-02-13,2021-02-13 06:30:00
7,7:00 AM,59.0,55.0,88.0, VAR,2.0,0.0,30.02, 0.0 in, Fog,2021-02-13,2021-02-13 07:00:00
8,7:30 AM,61.0,57.0,88.0, E,3.0,0.0,30.02, 0.0 in, Fog,2021-02-13,2021-02-13 07:30:00
9,8:00 AM,63.0,57.0,82.0, E,2.0,0.0,30.05, 0.0 in, Fair,2021-02-13,2021-02-13 08:00:00
10,8:30 AM,64.0,59.0,83.0, E,5.0,0.0,30.05, 0.0 in, Fair,2021-02-13,2021-02-13 08:30:00
11,9:00 AM,66.0,59.0,78.0, VAR,2.0,0.0,30.05, 0.0 in, Fair,2021-02-13,2021-02-13 09:00:00
12,9:30 AM,68.0,55.0,64.0, ESE,3.0,0.0,30.05, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 09:30:00
13,10:00 AM,68.0,54.0,60.0, VAR,3.0,0.0,30.05, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 10:00:00
14,10:30 AM,70.0,55.0,60.0, VAR,5.0,0.0,30.05, 0.0 in, Fair,2021-02-13,2021-02-13 10:30:00
15,11:00 AM,70.0,54.0,56.0, E,5.0,0.0,30.05, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 11:00:00
16,11:30 AM,72.0,55.0,57.0, E,5.0,0.0,30.02, 0.0 in, Fair,2021-02-13,2021-02-13 11:30:00
17,12:00 PM,73.0,55.0,53.0, VAR,6.0,0.0,30.02, 0.0 in, Fair,2021-02-13,2021-02-13 12:00:00
18,12:30 PM,73.0,55.0,53.0, SSE,6.0,0.0,29.99, 0.0 in, Fair,2021-02-13,2021-02-13 12:30:00
19,1:00 PM,73.0,55.0,53.0, VAR,6.0,0.0,29.96, 0.0 in, Mostly Cloudy,2021-02-13,2021-02-13 13:00:00
20,1:30 PM,73.0,55.0,53.0, SSE,5.0,0.0,29.96, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 13:30:00
21,2:00 PM,73.0,54.0,50.0, E,7.0,0.0,29.93, 0.0 in, Fair,2021-02-13,2021-02-13 14:00:00
22,2:30 PM,73.0,54.0,50.0, ESE,7.0,0.0,29.93, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 14:30:00
23,3:00 PM,73.0,54.0,50.0, ESE,6.0,0.0,29.93, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 15:00:00
24,3:30 PM,73.0,52.0,47.0, E,6.0,0.0,29.9, 0.0 in, Partly Cloudy,2021-02-13,2021-02-13 15:30:00
25,4:00 PM,73.0,52.0,47.0, E,9.0,0.0,29.9, 0.0 in, Mostly Cloudy,2021-02-13,2021-02-13 16:00:00
