,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM, 82 °F, 81 °F, 94 %, E, 5 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 00:00:00
1,12:30 AM, 82 °F, 81 °F, 94 %, E, 5 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 00:30:00
2,1:00 AM, 81 °F, 81 °F, 100 %, E, 5 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 01:00:00
3,1:30 AM, 82 °F, 81 °F, 94 %, E, 6 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 01:30:00
4,2:00 AM, 81 °F, 79 °F, 94 %, E, 6 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 02:00:00
5,2:30 AM, 82 °F, 79 °F, 89 %, ESE, 6 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 02:30:00
6,3:00 AM, 82 °F, 79 °F, 89 %, VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 03:00:00
7,3:30 AM, 81 °F, 79 °F, 94 %, E, 5 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 03:30:00
8,4:00 AM, 81 °F, 79 °F, 94 %, VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 04:00:00
9,4:30 AM, 81 °F, 79 °F, 94 %, NE, 2 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 04:30:00
10,5:00 AM, 81 °F, 79 °F, 94 %, ENE, 5 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 05:00:00
11,5:30 AM, 81 °F, 79 °F, 94 %, NNE, 3 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 05:30:00
12,6:00 AM, 81 °F, 79 °F, 94 %, VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 06:00:00
13,6:30 AM, 81 °F, 81 °F, 100 %, VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 06:30:00
14,7:00 AM, 82 °F, 81 °F, 94 %, VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 07:00:00
15,7:30 AM, 84 °F, 81 °F, 89 %, VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Fair,2019-06-01,2019-06-01 07:30:00
16,8:00 AM, 86 °F, 81 °F, 84 %, VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Fair,2019-06-01,2019-06-01 08:00:00
17,8:30 AM, 90 °F, 79 °F, 70 %, E, 5 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 08:30:00
18,9:00 AM, 90 °F, 81 °F, 75 %, E, 5 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 09:00:00
19,9:30 AM, 90 °F, 77 °F, 66 %, SSE, 6 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 09:30:00
20,10:00 AM, 91 °F, 79 °F, 66 %, VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 10:00:00
21,10:30 AM, 93 °F, 73 °F, 52 %, E, 3 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 10:30:00
22,11:00 AM, 93 °F, 73 °F, 52 %, E, 6 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 11:00:00
23,11:30 AM, 93 °F, 73 °F, 52 %, VAR, 5 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 11:30:00
24,12:00 PM, 93 °F, 73 °F, 52 %, VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 12:00:00
25,12:30 PM, 95 °F, 70 °F, 44 %, VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 12:30:00
26,1:00 PM, 95 °F, 70 °F, 44 %, NE, 2 mph, 0 mph, 29.67 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 13:00:00
27,1:30 PM, 99 °F, 70 °F, 39 %, VAR, 1 mph, 0 mph, 29.67 in, 0.0 in, Mostly Cloudy,2019-06-01,2019-06-01 13:30:00
28,2:00 PM, 99 °F, 68 °F, 37 %, VAR, 3 mph, 0 mph, 29.64 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 14:00:00
29,2:30 PM, 97 °F, 70 °F, 41 %, VAR, 1 mph, 0 mph, 29.64 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 14:30:00
30,3:00 PM, 95 °F, 72 °F, 47 %, SSE, 7 mph, 0 mph, 29.61 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 15:00:00
31,3:30 PM, 95 °F, 73 °F, 49 %, SSE, 7 mph, 0 mph, 29.61 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 15:30:00
32,4:00 PM, 93 °F, 75 °F, 56 %, S, 9 mph, 0 mph, 29.61 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 16:00:00
33,4:30 PM, 91 °F, 75 °F, 59 %, SSE, 7 mph, 0 mph, 29.61 in, 0.0 in, Light Rain Shower,2019-06-01,2019-06-01 16:30:00
34,5:00 PM, 88 °F, 73 °F, 62 %, NW, 7 mph, 0 mph, 29.64 in, 0.0 in, Light Rain with Thunder,2019-06-01,2019-06-01 17:00:00
35,5:30 PM, 86 °F, 75 °F, 70 %, VAR, 3 mph, 0 mph, 29.64 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 17:30:00
36,6:00 PM, 88 °F, 77 °F, 70 %, VAR, 2 mph, 0 mph, 29.64 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 18:00:00
37,6:30 PM, 90 °F, 75 °F, 62 %, S, 6 mph, 0 mph, 29.67 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 18:30:00
38,7:00 PM, 88 °F, 75 °F, 66 %, S, 9 mph, 0 mph, 29.67 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 19:00:00
39,7:30 PM, 88 °F, 77 °F, 70 %, S, 8 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 19:30:00
40,8:00 PM, 88 °F, 79 °F, 75 %, S, 7 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 20:00:00
41,8:30 PM, 88 °F, 79 °F, 75 %, S, 6 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 20:30:00
42,9:00 PM, 86 °F, 79 °F, 79 %, S, 7 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 21:00:00
43,9:30 PM, 86 °F, 79 °F, 79 %, S, 7 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 21:30:00
44,10:00 PM, 88 °F, 79 °F, 75 %, SSE, 6 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 22:00:00
45,10:30 PM, 86 °F, 79 °F, 79 %, SSE, 6 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 22:30:00
46,11:00 PM, 86 °F, 77 °F, 74 %, SE, 5 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 23:00:00
47,11:30 PM, 86 °F, 79 °F, 79 %, ESE, 6 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy,2019-06-01,2019-06-01 23:30:00
