,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM, 79 °F, 79 °F, 100 %, CALM, 0 mph, 0 mph, 29.76 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 00:00:00
1,12:30 AM, 79 °F, 79 °F, 100 %, CALM, 0 mph, 0 mph, 29.76 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 00:30:00
2,1:00 AM, 79 °F, 79 °F, 100 %, ENE, 1 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 01:00:00
3,1:30 AM, 79 °F, 79 °F, 100 %, CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 01:30:00
4,2:00 AM, 79 °F, 79 °F, 100 %, VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 02:00:00
5,2:30 AM, 79 °F, 79 °F, 100 %, VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 02:30:00
6,3:00 AM, 79 °F, 79 °F, 100 %, VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, Mostly Cloudy,2019-06-04,2019-06-04 03:00:00
7,3:30 AM, 79 °F, 79 °F, 100 %, NNW, 2 mph, 0 mph, 29.70 in, 0.0 in, Fog,2019-06-04,2019-06-04 03:30:00
8,4:00 AM, 79 °F, 79 °F, 100 %, NNE, 3 mph, 0 mph, 29.70 in, 0.0 in, Fog,2019-06-04,2019-06-04 04:00:00
9,4:30 AM, 79 °F, 77 °F, 94 %, NE, 2 mph, 0 mph, 29.70 in, 0.0 in, Fog,2019-06-04,2019-06-04 04:30:00
10,5:00 AM, 77 °F, 77 °F, 100 %, E, 2 mph, 0 mph, 29.70 in, 0.0 in, Fog,2019-06-04,2019-06-04 05:00:00
