,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,81.0,75.0,84.0, VAR,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 00:00:00
1,12:30 AM,81.0,75.0,84.0, VAR,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 00:30:00
2,1:00 AM,81.0,75.0,84.0, VAR,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 01:00:00
3,1:30 AM,81.0,75.0,84.0, VAR,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 01:30:00
4,2:30 AM,81.0,75.0,84.0, CALM,0.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 02:30:00
5,3:00 AM,81.0,75.0,84.0, ENE,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 03:00:00
6,3:30 AM,81.0,75.0,84.0, VAR,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 03:30:00
7,4:00 AM,81.0,75.0,84.0, WNW,1.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 04:00:00
8,4:30 AM,81.0,75.0,84.0, NW,2.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 04:30:00
9,5:00 AM,81.0,75.0,84.0, WNW,2.0,0.0,29.88, 0.0 in, Partly Cloudy,2020-04-24,2020-04-24 05:00:00
10,5:30 AM,81.0,75.0,84.0, NW,2.0,0.0,29.91, 0.0 in, Mostly Cloudy,2020-04-24,2020-04-24 05:30:00
11,6:00 AM,81.0,75.0,84.0, NNW,3.0,0.0,29.88, 0.0 in, Mostly Cloudy,2020-04-24,2020-04-24 06:00:00
12,6:30 AM,79.0,77.0,94.0, N,7.0,0.0,29.91, 0.0 in, Mostly Cloudy,2020-04-24,2020-04-24 06:30:00
13,7:00 AM,79.0,77.0,94.0, N,7.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 07:00:00
14,7:30 AM,79.0,77.0,94.0, NNW,3.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 07:30:00
15,8:00 AM,79.0,77.0,94.0, VAR,3.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 08:00:00
16,8:30 AM,79.0,77.0,94.0, N,8.0,0.0,29.94, 0.0 in, Light Rain with Thunder,2020-04-24,2020-04-24 08:30:00
17,9:00 AM,79.0,77.0,94.0, N,6.0,0.0,29.97, 0.0 in, Light Rain with Thunder,2020-04-24,2020-04-24 09:00:00
18,9:30 AM,79.0,77.0,94.0, VAR,2.0,0.0,29.97, 0.0 in, Light Rain with Thunder,2020-04-24,2020-04-24 09:30:00
19,10:00 AM,79.0,79.0,100.0, N,5.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 10:00:00
20,10:30 AM,81.0,79.0,94.0, N,5.0,0.0,29.94, 0.0 in, Mostly Cloudy,2020-04-24,2020-04-24 10:30:00
21,11:00 AM,81.0,79.0,94.0, NE,5.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 11:00:00
22,11:30 AM,81.0,79.0,94.0, E,5.0,0.0,29.94, 0.0 in, Light Rain,2020-04-24,2020-04-24 11:30:00
23,12:00 PM,81.0,77.0,89.0, E,3.0,0.0,29.94, 0.0 in, Light Rain with Thunder,2020-04-24,2020-04-24 12:00:00
